Case ID,Case Type,Court,Judge Name,Date,Plaintiff,Defendant,Case Summary,Key Arguments,Verdict,Appeal Status,Legal References,Outcome Summary
11,Constitutional,District Court,Justice Sharma,2022-09-17,Party_19,Party_808,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Dismissed,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
12,Corporate Law,Supreme Court,Justice Mehta,2020-08-28,Party_178,Party_717,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Pending,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
13,Family Law,Family Court,Justice Sharma,2022-03-26,Party_107,Party_753,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Joint Custody,No Appeal,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
14,Family Law,High Court,Justice Nair,2023-10-22,Party_494,Party_811,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Joint Custody,Appeal Pending,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
15,Criminal Case,NCLT,Justice Reddy,2019-09-27,Party_127,Party_606,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,No Appeal,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
16,Family Law,Supreme Court,Justice Sharma,2020-03-25,Party_9,Party_903,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,No Appeal,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
17,Family Law,Family Court,Justice Reddy,2022-11-18,Party_214,Party_901,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Joint Custody,Appeal Pending,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
18,Corporate Law,NCLT,Justice Mehta,2024-06-18,Party_296,Party_697,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,No Appeal,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
19,Family Law,District Court,Justice Sharma,2020-02-23,Party_35,Party_505,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Plaintiff,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
20,Family Law,Supreme Court,Justice Nair,2018-04-16,Party_245,Party_503,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
21,Civil Dispute,District Court,Justice Kumar,2019-11-29,Party_237,Party_551,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
22,Constitutional,Supreme Court,Justice Nair,2023-12-14,Party_433,Party_944,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Dismissed,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
23,Civil Dispute,High Court,Justice Mehta,2024-09-21,Party_230,Party_656,Legal dispute over civil dispute issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,No Appeal,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
24,Corporate Law,High Court,Justice Reddy,2019-09-13,Party_251,Party_596,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
25,Constitutional,District Court,Justice Nair,2023-04-17,Party_205,Party_809,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
26,Criminal Case,High Court,Justice Mehta,2024-10-18,Party_372,Party_521,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Pending,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
27,Civil Dispute,High Court,Justice Kumar,2022-11-27,Party_359,Party_547,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Pending,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
28,Corporate Law,NCLT,Justice Sharma,2024-11-17,Party_267,Party_936,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Dismissed,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
29,Criminal Case,NCLT,Justice Reddy,2016-11-24,Party_388,Party_583,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Pending,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
30,Criminal Case,High Court,Justice Nair,2016-06-28,Party_481,Party_867,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
31,Criminal Case,Supreme Court,Justice Sharma,2024-02-03,Party_487,Party_935,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
32,Criminal Case,District Court,Justice Reddy,2016-11-17,Party_495,Party_947,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,No Appeal,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
33,Corporate Law,High Court,Justice Sharma,2024-02-17,Party_13,Party_805,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
34,Family Law,Family Court,Justice Sharma,2019-09-27,Party_375,Party_589,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,Appeal Pending,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
35,Civil Dispute,District Court,Justice Kumar,2018-08-06,Party_396,Party_814,Legal dispute over civil dispute issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Dismissed,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
36,Corporate Law,High Court,Justice Sharma,2020-06-28,Party_279,Party_961,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
37,Corporate Law,Family Court,Justice Reddy,2022-07-19,Party_485,Party_820,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Dismissed,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
38,Family Law,District Court,Justice Reddy,2016-11-30,Party_477,Party_841,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Guilty,No Appeal,Companies Act 2013,Guilty with reference to Companies Act 2013.
39,Corporate Law,Supreme Court,Justice Kumar,2021-02-25,Party_193,Party_979,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Pending,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
40,Family Law,District Court,Justice Sharma,2023-10-14,Party_261,Party_994,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,No Appeal,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
41,Constitutional,Supreme Court,Justice Kumar,2021-05-23,Party_150,Party_561,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Dismissed,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
42,Criminal Case,Supreme Court,Justice Sharma,2018-07-29,Party_138,Party_968,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,No Appeal,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
43,Constitutional,Family Court,Justice Kumar,2024-12-25,Party_465,Party_607,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Pending,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
44,Criminal Case,High Court,Justice Sharma,2024-11-12,Party_84,Party_770,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
45,Corporate Law,Supreme Court,Justice Mehta,2023-04-26,Party_467,Party_994,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Dismissed,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
46,Criminal Case,Family Court,Justice Nair,2021-04-20,Party_339,Party_743,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
47,Criminal Case,District Court,Justice Kumar,2016-01-01,Party_193,Party_908,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
48,Family Law,High Court,Justice Reddy,2018-09-30,Party_327,Party_869,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
49,Constitutional,High Court,Justice Kumar,2015-07-23,Party_144,Party_701,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
50,Constitutional,NCLT,Justice Kumar,2019-07-03,Party_259,Party_682,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
51,Criminal Case,District Court,Justice Nair,2018-09-19,Party_295,Party_958,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,Appeal Dismissed,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
52,Constitutional,Family Court,Justice Kumar,2022-11-07,Party_344,Party_962,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Guilty,No Appeal,Companies Act 2013,Guilty with reference to Companies Act 2013.
53,Civil Dispute,District Court,Justice Sharma,2019-07-15,Party_391,Party_869,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,No Appeal,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
54,Corporate Law,NCLT,Justice Nair,2018-04-05,Party_109,Party_733,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
55,Criminal Case,High Court,Justice Mehta,2016-09-17,Party_454,Party_651,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,No Appeal,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
56,Constitutional,High Court,Justice Mehta,2016-12-25,Party_153,Party_709,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,Appeal Pending,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
57,Civil Dispute,Family Court,Justice Reddy,2019-08-06,Party_206,Party_564,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,No Appeal,Hindu Marriage Act 1955,Not Guilty with reference to Hindu Marriage Act 1955.
58,Family Law,High Court,Justice Nair,2020-05-15,Party_120,Party_792,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
59,Corporate Law,High Court,Justice Reddy,2022-02-07,Party_437,Party_563,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,No Appeal,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
60,Criminal Case,District Court,Justice Kumar,2016-08-24,Party_102,Party_691,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,No Appeal,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
61,Family Law,Family Court,Justice Kumar,2024-01-09,Party_89,Party_765,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,No Appeal,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
62,Civil Dispute,District Court,Justice Mehta,2023-03-21,Party_250,Party_553,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Plaintiff,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
63,Civil Dispute,District Court,Justice Nair,2024-08-24,Party_217,Party_971,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
64,Criminal Case,Family Court,Justice Kumar,2022-02-22,Party_154,Party_705,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
65,Civil Dispute,Supreme Court,Justice Nair,2020-09-01,Party_201,Party_706,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Dismissed,Companies Act 2013,Guilty with reference to Companies Act 2013.
66,Criminal Case,NCLT,Justice Kumar,2015-07-31,Party_178,Party_925,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Pending,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
67,Civil Dispute,Family Court,Justice Mehta,2015-12-30,Party_482,Party_964,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Dismissed,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
68,Civil Dispute,High Court,Justice Nair,2019-08-11,Party_478,Party_898,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Dismissed,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
69,Civil Dispute,District Court,Justice Mehta,2019-03-25,Party_435,Party_785,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
70,Civil Dispute,District Court,Justice Kumar,2016-10-09,Party_227,Party_947,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Dismissed,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
71,Constitutional,Supreme Court,Justice Sharma,2019-07-10,Party_116,Party_572,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,No Appeal,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
72,Civil Dispute,Family Court,Justice Nair,2016-02-14,Party_493,Party_904,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,No Appeal,Companies Act 2013,Guilty with reference to Companies Act 2013.
73,Civil Dispute,High Court,Justice Mehta,2020-06-14,Party_479,Party_855,Legal dispute over civil dispute issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
74,Corporate Law,District Court,Justice Sharma,2024-09-17,Party_498,Party_962,Legal dispute over corporate law issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
75,Civil Dispute,Family Court,Justice Kumar,2021-06-05,Party_46,Party_538,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
76,Constitutional,District Court,Justice Mehta,2018-10-16,Party_163,Party_747,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,No Appeal,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
77,Criminal Case,Family Court,Justice Nair,2016-12-17,Party_485,Party_889,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,No Appeal,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
78,Constitutional,NCLT,Justice Kumar,2024-07-10,Party_480,Party_935,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,Appeal Pending,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
79,Criminal Case,Supreme Court,Justice Mehta,2019-08-22,Party_46,Party_774,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
80,Family Law,Supreme Court,Justice Mehta,2021-02-28,Party_16,Party_949,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
81,Civil Dispute,Family Court,Justice Reddy,2023-06-18,Party_310,Party_926,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Dismissed,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
82,Criminal Case,High Court,Justice Sharma,2017-12-24,Party_108,Party_709,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,Guilty,Appeal Dismissed,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
83,Constitutional,District Court,Justice Reddy,2018-04-05,Party_107,Party_848,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Pending,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
84,Civil Dispute,District Court,Justice Reddy,2024-07-01,Party_106,Party_830,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Pending,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
85,Constitutional,High Court,Justice Kumar,2019-03-06,Party_57,Party_931,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Guilty,Appeal Dismissed,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
86,Civil Dispute,Family Court,Justice Sharma,2021-06-05,Party_382,Party_764,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
87,Civil Dispute,District Court,Justice Reddy,2015-07-04,Party_104,Party_997,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,No Appeal,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
88,Constitutional,Family Court,Justice Reddy,2020-04-23,Party_499,Party_952,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
89,Constitutional,District Court,Justice Sharma,2015-10-04,Party_249,Party_758,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Pending,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
90,Civil Dispute,Family Court,Justice Sharma,2023-02-06,Party_376,Party_666,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Pending,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
91,Family Law,District Court,Justice Nair,2018-01-10,Party_242,Party_999,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,No Appeal,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
92,Criminal Case,NCLT,Justice Mehta,2021-11-01,Party_356,Party_592,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Pending,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
93,Civil Dispute,NCLT,Justice Sharma,2018-09-13,Party_69,Party_896,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
94,Civil Dispute,Family Court,Justice Nair,2016-02-06,Party_45,Party_996,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,No Appeal,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
95,Corporate Law,NCLT,Justice Sharma,2023-07-05,Party_364,Party_911,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
96,Family Law,High Court,Justice Mehta,2018-05-26,Party_321,Party_602,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
97,Criminal Case,NCLT,Justice Kumar,2023-08-24,Party_361,Party_528,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Dismissed,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
98,Civil Dispute,District Court,Justice Sharma,2022-07-25,Party_398,Party_575,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Pending,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
99,Corporate Law,District Court,Justice Nair,2020-01-27,Party_104,Party_544,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
100,Family Law,High Court,Justice Sharma,2016-06-18,Party_393,Party_841,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,No Appeal,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
101,Corporate Law,District Court,Justice Mehta,2016-10-09,Party_453,Party_550,Legal dispute over corporate law issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,No Appeal,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
102,Criminal Case,NCLT,Justice Sharma,2019-10-26,Party_97,Party_748,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
103,Constitutional,High Court,Justice Mehta,2023-05-18,Party_11,Party_773,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
104,Family Law,District Court,Justice Kumar,2017-04-25,Party_170,Party_877,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,No Appeal,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
105,Civil Dispute,High Court,Justice Nair,2017-11-01,Party_375,Party_877,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,No Appeal,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
